Biome,Ecoregion,Variable,Mean,Standard deviation,mtry,RMSE,Rsquared,MAE,Irreplaceable/AGC/BGC,Biome code
Tropical & Subtropical Moist Broadleaf Forests,Albertine Rift montane forests,Croplands,46.61997159,5.4893656,4,20.753892,0.6332877,13.841067,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Albertine Rift montane forests,Navigable water,33.35373173,0.7783363,4,20.753892,0.6332877,13.841067,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Albertine Rift montane forests,Pastures,96.99910037,4.2384527,4,20.753892,0.6332877,13.841067,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Albertine Rift montane forests,Population density,48.11933932,5.1120116,4,20.753892,0.6332877,13.841067,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Albertine Rift montane forests,Roads,63.13332797,5.4258498,4,20.753892,0.6332877,13.841067,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Albertine Rift montane forests,y,99.69171928,0.7551305,4,20.753892,0.6332877,13.841067,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Alto Paraná Atlantic forests,Croplands,6.82534992,10.1533764,4,10.427795,0.141795,5.212307,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Alto Paraná Atlantic forests,Navigable water,57.21492811,8.8507836,4,10.427795,0.141795,5.212307,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Alto Paraná Atlantic forests,Pastures,47.78466997,7.9802156,4,10.427795,0.141795,5.212307,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Alto Paraná Atlantic forests,Population density,57.74550213,6.5263241,4,10.427795,0.141795,5.212307,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Alto Paraná Atlantic forests,Roads,22.68662205,12.2185196,4,10.427795,0.141795,5.212307,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Alto Paraná Atlantic forests,y,100,0,4,10.427795,0.141795,5.212307,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Araucaria moist forests,Croplands,27.46368655,25.4452065,2,8.591874,0.122678,3.926527,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Araucaria moist forests,Navigable water,90.05737985,24.3543461,2,8.591874,0.122678,3.926527,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Araucaria moist forests,Pastures,64.87034583,15.5477123,2,8.591874,0.122678,3.926527,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Araucaria moist forests,Population density,71.51528586,9.2368408,2,8.591874,0.122678,3.926527,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Araucaria moist forests,Roads,31.46944549,10.2612435,2,8.591874,0.122678,3.926527,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Araucaria moist forests,y,78.43137741,10.8386844,2,8.591874,0.122678,3.926527,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Atlantic Equatorial coastal forests,Croplands,31.13269618,6.4162026,2,27.65021,0.1636641,18.105466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Atlantic Equatorial coastal forests,Navigable water,65.44163966,4.9032342,2,27.65021,0.1636641,18.105466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Atlantic Equatorial coastal forests,Pastures,77.44108885,15.466977,2,27.65021,0.1636641,18.105466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Atlantic Equatorial coastal forests,Population density,68.54264006,10.7820833,2,27.65021,0.1636641,18.105466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Atlantic Equatorial coastal forests,Roads,60.47220015,8.4706648,2,27.65021,0.1636641,18.105466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Atlantic Equatorial coastal forests,y,100,0,2,27.65021,0.1636641,18.105466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,Croplands,0,0,4,12.113181,0.2934904,4.96775,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,Navigable water,41.55418436,11.2865626,4,12.113181,0.2934904,4.96775,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,Pastures,46.49244545,14.8826472,4,12.113181,0.2934904,4.96775,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,Population density,42.71197983,8.045546,4,12.113181,0.2934904,4.96775,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,Roads,17.92301029,7.2661495,4,12.113181,0.2934904,4.96775,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,y,100,0,4,12.113181,0.2934904,4.96775,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia interior forests,Croplands,7.48930253,7.0676232,4,9.60668,0.3104236,6.119147,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia interior forests,Navigable water,32.53501013,0.6038975,4,9.60668,0.3104236,6.119147,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia interior forests,Pastures,54.06781538,4.7684138,4,9.60668,0.3104236,6.119147,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia interior forests,Population density,85.89501972,2.251125,4,9.60668,0.3104236,6.119147,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia interior forests,Roads,21.41483616,3.8078992,4,9.60668,0.3104236,6.119147,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bahia interior forests,y,100,0,4,9.60668,0.3104236,6.119147,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bolivian Yungas,Croplands,0,0,2,15.107855,0.3415934,11.407558,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bolivian Yungas,Navigable water,46.69490828,13.9346284,2,15.107855,0.3415934,11.407558,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bolivian Yungas,Pastures,86.47186844,10.5629773,2,15.107855,0.3415934,11.407558,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bolivian Yungas,Population density,46.06753581,16.0853539,2,15.107855,0.3415934,11.407558,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bolivian Yungas,Roads,76.75277713,13.8953366,2,15.107855,0.3415934,11.407558,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Bolivian Yungas,y,88.39861936,17.9727816,2,15.107855,0.3415934,11.407558,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo lowland rain forests,Croplands,11.2136165,5.6659799,4,36.381129,0.2325807,23.916134,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo lowland rain forests,Navigable water,56.17722078,9.6189428,4,36.381129,0.2325807,23.916134,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo lowland rain forests,Pastures,35.42266593,11.6447312,4,36.381129,0.2325807,23.916134,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo lowland rain forests,Population density,68.40495313,8.9330952,4,36.381129,0.2325807,23.916134,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo lowland rain forests,Roads,39.16461607,6.9189608,4,36.381129,0.2325807,23.916134,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo lowland rain forests,y,100,0,4,36.381129,0.2325807,23.916134,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo montane rain forests,Croplands,0,0,2,24.041765,0.1289157,18.609476,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo montane rain forests,Navigable water,23.13551533,5.0517254,2,24.041765,0.1289157,18.609476,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo montane rain forests,Pastures,30.54326254,10.7931507,2,24.041765,0.1289157,18.609476,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo montane rain forests,Population density,96.63017563,2.6529017,2,24.041765,0.1289157,18.609476,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo montane rain forests,Roads,70.16082292,5.1590192,2,24.041765,0.1289157,18.609476,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo montane rain forests,y,97.5664912,3.7699756,2,24.041765,0.1289157,18.609476,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo peat swamp forests,Croplands,17.47416789,4.4271008,4,83.077667,0.4791149,65.307813,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo peat swamp forests,Navigable water,58.21108779,4.7551778,4,83.077667,0.4791149,65.307813,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo peat swamp forests,Pastures,68.1873279,3.1431011,4,83.077667,0.4791149,65.307813,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo peat swamp forests,Population density,64.86810795,2.5230607,4,83.077667,0.4791149,65.307813,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo peat swamp forests,Roads,62.36526852,6.5120147,4,83.077667,0.4791149,65.307813,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Borneo peat swamp forests,y,100,0,4,83.077667,0.4791149,65.307813,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests,Croplands,10.49138968,9.4292562,2,26.79719,0.2858282,16.458069,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests,Navigable water,73.14610016,0.7561503,2,26.79719,0.2858282,16.458069,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests,Pastures,68.6657889,8.650045,2,26.79719,0.2858282,16.458069,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests,Population density,64.91338495,5.6293009,2,26.79719,0.2858282,16.458069,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests,Roads,70.29793081,2.4082058,2,26.79719,0.2858282,16.458069,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Brahmaputra Valley semi-evergreen forests,y,100,0,2,26.79719,0.2858282,16.458069,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cameroonian Highlands forests,Croplands,0,0,2,12.690421,0.6664002,7.57269,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cameroonian Highlands forests,Navigable water,11.57050242,2.2830078,2,12.690421,0.6664002,7.57269,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cameroonian Highlands forests,Pastures,100,0,2,12.690421,0.6664002,7.57269,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cameroonian Highlands forests,Population density,82.37610829,1.8120849,2,12.690421,0.6664002,7.57269,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cameroonian Highlands forests,Roads,45.00258114,7.4448379,2,12.690421,0.6664002,7.57269,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cameroonian Highlands forests,y,78.5264551,8.5403137,2,12.690421,0.6664002,7.57269,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests,Croplands,0,0,2,34.187295,0.1045733,25.676165,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests,Navigable water,22.10704473,7.8108821,2,34.187295,0.1045733,25.676165,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests,Pastures,81.19740665,19.3758182,2,34.187295,0.1045733,25.676165,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests,Population density,76.81460974,15.3383027,2,34.187295,0.1045733,25.676165,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests,Roads,95.57946786,6.8482589,2,34.187295,0.1045733,25.676165,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Caqueta moist forests,y,90.33828773,16.1425619,2,34.187295,0.1045733,25.676165,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cardamom Mountains rain forests,Croplands,5.63400449,8.7281622,4,20.580038,0.3483511,12.499329,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cardamom Mountains rain forests,Navigable water,78.09106403,7.9440449,4,20.580038,0.3483511,12.499329,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cardamom Mountains rain forests,Pastures,91.34978812,9.4767131,4,20.580038,0.3483511,12.499329,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cardamom Mountains rain forests,Population density,93.48072875,5.9994618,4,20.580038,0.3483511,12.499329,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cardamom Mountains rain forests,Roads,73.71692022,27.8730053,4,20.580038,0.3483511,12.499329,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cardamom Mountains rain forests,y,93.17967538,7.4712913,4,20.580038,0.3483511,12.499329,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Catatumbo moist forests,Croplands,12.07968999,3.6226617,4,16.659217,0.7969633,8.044257,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Catatumbo moist forests,Navigable water,74.45336037,5.2250394,4,16.659217,0.7969633,8.044257,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Catatumbo moist forests,Pastures,65.10406681,8.3486319,4,16.659217,0.7969633,8.044257,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Catatumbo moist forests,Population density,68.64550058,2.751199,4,16.659217,0.7969633,8.044257,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Catatumbo moist forests,Roads,46.04092774,7.1521582,4,16.659217,0.7969633,8.044257,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Catatumbo moist forests,y,100,0,4,16.659217,0.7969633,8.044257,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cauca Valley montane forests,Croplands,0,0,2,20.323803,0.3264341,15.663687,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cauca Valley montane forests,Navigable water,72.00482657,10.3882785,2,20.323803,0.3264341,15.663687,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cauca Valley montane forests,Pastures,59.00666124,6.3842301,2,20.323803,0.3264341,15.663687,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cauca Valley montane forests,Population density,54.34601842,5.3664761,2,20.323803,0.3264341,15.663687,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cauca Valley montane forests,Roads,47.91239594,9.9915767,2,20.323803,0.3264341,15.663687,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cauca Valley montane forests,y,100,0,2,20.323803,0.3264341,15.663687,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Croplands,6.18182712,4.6875081,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Navigable water,72.84124962,6.5685503,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Pastures,71.77037883,10.4327203,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Population density,100,0,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Roads,64.88445505,3.1248866,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,y,88.9447119,6.6083457,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American montane forests,Navigable water,24.22618017,5.1879721,4,9.517684,0.3736713,6.657063,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American montane forests,Pastures,71.92819427,4.1777025,4,9.517684,0.3736713,6.657063,irrep,TropMoBF
